N,exec_id,latencia_seg
1,102,3.11
2,103,3.09
3,104,2.97
4,105,3.1
5,106,4.68
6,107,4.29
7,108,5.38
8,109,3.9
9,110,3.92
10,111,3.88
11,112,3.42
12,113,3.04
13,114,3.95
14,115,3.49
15,116,2.81
16,137,3.75
17,118,4.13
18,119,3.96
19,120,3.99
20,121,3.42
21,122,3.49
22,123,3.77
23,124,4.04
24,125,3.62
25,126,4.0
26,127,4.48
27,128,3.15
28,129,3.33
29,130,3.46
30,131,3.35
31,132,2.98
32,133,2.84
33,134,3.01
34,135,2.89
35,136,3.39
36,138,2.72
37,139,3.24
38,140,3.47
39,141,3.36
40,142,3.42
41,143,2.9
42,144,3.54
43,145,3.26
44,146,3.22
45,147,3.27
46,148,3.36
47,149,2.76
48,150,3.87
49,151,2.96
50,152,2.67
51,153,3.14
52,154,3.28
53,155,2.64
54,156,3.64
55,157,2.93
