N,prioridad_experto2,prioridad_experto3,coincide
1,BAJA,BAJA,SI
2,BAJA,BAJA,SI
3,BAJA,BAJA,SI
4,BAJA,BAJA,SI
5,BAJA,BAJA,SI
6,MEDIA,MEDIA,SI
7,MEDIA,MEDIA,SI
8,MEDIA,MEDIA,SI
9,MEDIA,MEDIA,SI
10,BAJA,BAJA,SI
11,ALTA,ALTA,SI
12,ALTA,ALTA,SI
13,ALTA,MEDIA,NO
14,MEDIA,MEDIA,SI
15,MEDIA,MEDIA,SI
16,ALTA,ALTA,SI
17,ALTA,ALTA,SI
18,ALTA,ALTA,SI
19,ALTA,MEDIA,NO
20,MEDIA,MEDIA,SI
21,ALTA,ALTA,SI
22,ALTA,ALTA,SI
23,ALTA,ALTA,SI
24,ALTA,ALTA,SI
25,ALTA,MEDIA,NO
26,BAJA,BAJA,SI
27,BAJA,BAJA,SI
28,BAJA,BAJA,SI
29,BAJA,BAJA,SI
30,MEDIA,MEDIA,SI
31,MEDIA,BAJA,NO
32,MEDIA,BAJA,NO
33,MEDIA,MEDIA,SI
34,MEDIA,MEDIA,SI
35,MEDIA,MEDIA,SI
36,BAJA,BAJA,SI
37,BAJA,BAJA,SI
38,MEDIA,MEDIA,SI
39,MEDIA,MEDIA,SI
40,MEDIA,MEDIA,SI
41,BAJA,BAJA,SI
42,ALTA,ALTA,SI
43,ALTA,MEDIA,NO
44,MEDIA,MEDIA,SI
45,ALTA,ALTA,SI
46,MEDIA,MEDIA,SI
47,MEDIA,MEDIA,SI
48,MEDIA,MEDIA,SI
49,BAJA,BAJA,SI
50,MEDIA,MEDIA,SI
51,MEDIA,MEDIA,SI
52,MEDIA,MEDIA,SI
53,BAJA,BAJA,SI
54,MEDIA,MEDIA,SI
55,MEDIA,MEDIA,SI
