N,claridad,relevancia,precision,uso_contexto,persuasion,promedio
1,4.67,5.00,5.00,5.00,3.00,4.53
2,5.00,5.00,5.00,5.00,3.00,4.60
3,5.00,5.00,5.00,5.00,3.00,4.60
4,5.00,5.00,5.00,5.00,3.00,4.60
5,5.00,5.00,5.00,5.00,3.33,4.67
6,5.00,5.00,5.00,4.67,5.00,4.93
7,4.00,5.00,5.00,4.67,5.00,4.73
8,5.00,5.00,5.00,4.67,5.00,4.93
9,5.00,5.00,5.00,3.67,4.67,4.67
10,5.00,5.00,5.00,4.00,3.00,4.40
11,5.00,5.00,5.00,4.33,4.67,4.80
12,5.00,5.00,5.00,5.00,4.67,4.93
13,5.00,5.00,5.00,5.00,5.00,5.00
14,5.00,5.00,5.00,4.00,4.33,4.67
15,5.00,5.00,5.00,5.00,3.33,4.67
16,5.00,5.00,5.00,4.33,5.00,4.87
17,5.00,5.00,5.00,5.00,5.00,5.00
18,5.00,5.00,5.00,4.67,5.00,4.93
19,5.00,5.00,5.00,4.33,5.00,4.87
20,5.00,5.00,5.00,4.00,4.00,4.60
21,5.00,5.00,5.00,5.00,5.00,5.00
22,5.00,5.00,5.00,5.00,5.00,5.00
23,5.00,5.00,5.00,5.00,5.00,5.00
24,5.00,5.00,5.00,5.00,4.00,4.80
25,5.00,5.00,5.00,5.00,4.67,4.93
26,5.00,5.00,3.33,5.00,4.00,4.47
27,4.00,5.00,5.00,5.00,4.33,4.67
28,5.00,5.00,5.00,4.67,5.00,4.93
29,5.00,5.00,5.00,4.00,4.67,4.73
30,5.00,5.00,5.00,4.00,4.33,4.67
31,5.00,5.00,4.33,4.33,3.67,4.47
32,5.00,5.00,5.00,4.33,3.67,4.60
33,5.00,5.00,5.00,5.00,3.67,4.73
34,5.00,5.00,5.00,5.00,3.33,4.67
35,5.00,5.00,5.00,5.00,3.67,4.73
36,5.00,5.00,5.00,5.00,3.00,4.60
37,5.00,5.00,5.00,5.00,4.33,4.87
38,5.00,5.00,5.00,5.00,5.00,5.00
39,5.00,5.00,5.00,4.67,5.00,4.93
40,5.00,5.00,5.00,5.00,4.33,4.87
41,5.00,5.00,5.00,4.67,4.67,4.87
42,5.00,5.00,5.00,5.00,5.00,5.00
43,5.00,5.00,5.00,4.67,4.67,4.87
44,5.00,5.00,5.00,4.00,4.67,4.73
45,5.00,5.00,5.00,5.00,4.67,4.93
46,5.00,5.00,5.00,5.00,4.33,4.87
47,5.00,5.00,5.00,5.00,4.67,4.93
48,5.00,5.00,5.00,5.00,4.67,4.93
49,5.00,5.00,5.00,5.00,4.67,4.93
50,5.00,5.00,5.00,4.67,5.00,4.93
51,5.00,5.00,5.00,4.67,4.67,4.87
52,5.00,5.00,5.00,5.00,5.00,5.00
53,5.00,5.00,5.00,5.00,3.00,4.60
54,5.00,5.00,5.00,3.67,4.67,4.67
55,4.00,5.00,5.00,5.00,4.67,4.73
