N,fecha,id_anonimizado,valor_carrito,etapa,abandonos_previos,prioridad_algoritmo,prioridad_experto2,latencia_seg,rubrica_promedio,canal,estado
1,2026-09-03,U01,40000,cart,0,Baja,Baja,3.11,4.53,Email,success
2,2026-09-03,U02,40000,cart,1,Baja,Baja,3.09,4.6,Email,success
3,2026-09-03,U03,40000,cart,2,Baja,Baja,2.97,4.6,Email,success
4,2026-09-03,U04,40000,cart,3,Baja,Baja,3.1,4.6,Email,success
5,2026-09-03,U05,40000,cart,5,Baja,Baja,4.68,4.67,Email,success
6,2026-09-03,U06,80000,cart,0,Media,Media,4.29,4.93,Email,success
7,2026-09-03,U07,80000,cart,1,Media,Media,5.38,4.73,Email,success
8,2026-09-03,U08,80000,cart,2,Media,Media,3.9,4.93,Email,success
9,2026-09-03,U09,80000,cart,3,Media,Media,3.92,4.67,Email,success
10,2026-09-03,U10,80000,cart,5,Baja,Baja,3.88,4.4,Email,success
11,2026-09-03,U01,120000,cart,0,Media,Alta,3.42,4.8,Email,success
12,2026-09-03,U02,120000,cart,1,Media,Alta,3.04,4.93,Email,success
13,2026-09-03,U03,120000,cart,2,Media,Alta,3.95,5.0,Email,success
14,2026-09-03,U04,120000,cart,3,Media,Media,3.49,4.67,Email,success
15,2026-09-03,U05,120000,cart,5,Baja,Media,2.81,4.67,Email,success
16,2026-09-03,U06,160000,cart,0,Alta,Alta,3.75,4.87,Telegram,success
17,2026-09-03,U07,160000,cart,1,Alta,Alta,4.13,5.0,Telegram,success
18,2026-09-03,U08,160000,cart,2,Alta,Alta,3.96,4.93,Telegram,success
19,2026-09-03,U09,160000,cart,3,Alta,Alta,3.99,4.87,Telegram,success
20,2026-09-03,U10,160000,cart,5,Media,Media,3.42,4.6,Email,success
21,2026-09-03,U01,200000,cart,0,Alta,Alta,3.49,5.0,Telegram,success
22,2026-09-03,U02,200000,cart,1,Alta,Alta,3.77,5.0,Telegram,success
23,2026-09-03,U03,200000,cart,2,Alta,Alta,4.04,5.0,Telegram,success
24,2026-09-03,U04,200000,cart,3,Alta,Alta,3.62,4.8,Telegram,success
25,2026-09-03,U05,200000,cart,5,Media,Alta,4.0,4.93,Email,success
26,2026-09-03,U06,64000,cart,2,Media,Baja,4.48,4.47,Email,success
27,2026-09-03,U07,68000,cart,2,Media,Baja,3.15,4.67,Email,success
28,2026-09-03,U08,72000,cart,2,Media,Baja,3.33,4.93,Email,success
29,2026-09-03,U09,76000,cart,2,Media,Baja,3.46,4.73,Email,success
30,2026-09-03,U10,80000,cart,2,Media,Media,3.35,4.67,Email,success
31,2026-09-03,U01,112000,cart,5,Baja,Media,2.98,4.47,Email,success
32,2026-09-03,U02,116000,cart,5,Baja,Media,2.84,4.6,Email,success
33,2026-09-03,U03,120000,cart,5,Baja,Media,3.01,4.73,Email,success
34,2026-09-03,U04,124000,cart,5,Baja,Media,2.89,4.67,Email,success
35,2026-09-03,U05,128000,cart,5,Baja,Media,3.39,4.73,Email,success
36,2026-09-03,U01,40000,cart,0,Baja,Baja,2.72,4.6,Email,success
37,2026-09-03,U02,64000,cart,1,Media,Baja,3.24,4.87,Email,success
38,2026-09-03,U03,90000,cart,2,Media,Media,3.47,5.0,Email,success
39,2026-09-03,U04,110000,cart,3,Media,Media,3.36,4.93,Email,success
40,2026-09-03,U05,140000,cart,5,Media,Media,3.42,4.87,Email,success
41,2026-09-03,U06,55000,cart,4,Baja,Baja,2.9,4.87,Email,success
42,2026-09-03,U07,180000,cart,1,Alta,Alta,3.54,5.0,Telegram,success
43,2026-09-03,U08,200000,cart,4,Media,Alta,3.26,4.87,Email,success
44,2026-09-03,U09,69000,cart,0,Media,Media,3.22,4.73,Email,success
45,2026-09-03,U10,130000,cart,2,Media,Alta,3.27,4.93,Email,success
46,2026-09-03,U10,105000,cart,2,Media,Media,3.36,4.87,Email,success
47,2026-09-03,U05,200000,cart,5,Media,Media,2.76,4.93,Email,success
48,2026-09-03,U01,160000,cart,5,Media,Media,3.87,4.93,Email,success
49,2026-09-03,U04,24000,cart,0,Baja,Baja,2.96,4.93,Email,success
50,2026-09-03,U08,59000,cart,1,Baja,Media,2.67,4.93,Email,success
51,2026-09-03,U06,85000,cart,2,Media,Media,3.14,4.87,Email,success
52,2026-09-03,U03,100000,cart,1,Media,Media,3.28,5.0,Email,success
53,2026-09-03,U02,49000,cart,3,Baja,Baja,2.64,4.6,Email,success
54,2026-09-03,U09,150000,cart,3,Alta,Media,3.64,4.67,Telegram,success
55,2026-09-03,U07,120000,cart,4,Baja,Media,2.93,4.73,Email,success
