Mensaje,Ronda,Escenario,Prioridad,Canal,Cart Value,Latencia (ms)
M-001,1,exec-96,BAJA,Email,59000,2572
M-002,2,exec-140,MEDIA,Email,90000,3472
M-003,1,F-09,MEDIA,Email,80000,5162
M-004,2,exec-144,ALTA,Telegram,180000,3536
M-005,2,F-07,MEDIA,Email,80000,5381
M-006,2,B70-03,BAJA,Email,120000,3013
M-007,2,exec-155,BAJA,Email,49000,2639
M-008,2,F-15,BAJA,Email,120000,2807
M-009,2,B40-01,MEDIA,Email,64000,4481
M-010,1,F-10,MEDIA,Email,80000,4540
M-011,1,exec-95,BAJA,Email,24000,2643
M-012,2,exec-156,ALTA,Telegram,150000,3636
M-013,2,exec-148,MEDIA,Email,105000,3358
M-014,2,F-03,BAJA,Email,40000,2968
M-015,1,F-03,BAJA,Email,40000,2642
M-016,2,exec-154,MEDIA,Email,100000,3279
M-017,1,exec-88,ALTA,Telegram,140000,4445
M-018,2,exec-145,MEDIA,Email,200000,3257
M-019,2,exec-147,MEDIA,Email,130000,3275
M-020,1,exec-85,MEDIA,Email,130000,4746
M-021,1,exec-100,MEDIA,Email,150000,3619
M-022,2,F-23,ALTA,Telegram,200000,4044
M-023,2,F-09,MEDIA,Email,80000,3925
M-024,1,exec-90,MEDIA,Email,90000,4606
M-025,1,exec-97,MEDIA,Email,85000,3608
M-026,2,exec-138,BAJA,Email,40000,2717
M-027,2,F-05,BAJA,Email,40000,4682
M-028,2,exec-152,BAJA,Email,59000,2666
M-029,1,F-17,MEDIA,Email,160000,5678
M-030,2,F-16,ALTA,Telegram,160000,3752
M-031,2,F-17,ALTA,Telegram,160000,4130
M-032,1,exec-101,MEDIA,Email,120000,4474
M-033,2,exec-143,BAJA,Email,55000,2905
M-034,1,F-11,MEDIA,Email,120000,3761
M-035,2,exec-149,MEDIA,Email,200000,2764
M-036,1,F-20,ALTA,Telegram,160000,4929
M-037,2,exec-153,MEDIA,Email,85000,3140
M-038,2,B70-02,BAJA,Email,116000,2841
M-039,2,F-06,MEDIA,Email,80000,4289
M-040,1,exec-92,MEDIA,Email,105000,4065
M-041,1,exec-82,MEDIA,Email,55000,5671
M-042,2,F-11,MEDIA,Email,120000,3416
M-043,2,F-01,BAJA,Email,40000,3111
M-044,1,F-24,ALTA,Telegram,200000,3737
M-045,2,B70-01,BAJA,Email,112000,2979
M-046,2,F-04,BAJA,Email,40000,3104
M-047,2,exec-142,MEDIA,Email,140000,3425
M-048,2,B40-03,MEDIA,Email,72000,3330
M-049,2,F-21,ALTA,Telegram,200000,3492
M-050,1,F-18,MEDIA,Email,160000,3913
M-051,1,B70-05,ALTA,Telegram,128000,10770
M-052,2,B40-04,MEDIA,Email,76000,3462
M-053,2,F-14,MEDIA,Email,120000,3489
M-054,2,B40-02,MEDIA,Email,68000,3153
