ID_Sesion,Prioridad_Asignada
S-01,Alta
S-02,Baja
S-03,Media
S-04,Baja
S-05,Media
S-06,Baja
S-07,Media
S-08,Baja
S-09,Alta
S-10,Media
S-11,Media
S-12,Baja
S-13,Media
S-14,Baja
S-15,Alta
S-16,Alta
S-17,Media
S-18,Media
S-19,Baja
S-20,Alta
S-21,Baja
S-22,Media
S-23,Alta
S-24,Media
S-25,Baja
S-26,Media
S-27,Baja
S-28,Baja
S-29,Media
S-30,Media
S-31,Media
S-32,Baja
S-33,Baja
S-34,Media
S-35,Media
S-36,Media
S-37,Baja
S-38,Media
S-39,Media
S-40,Media
S-41,Media
S-42,Media
S-43,Baja
S-44,Media
S-45,Alta
S-46,Media
S-47,Alta
S-48,Alta
S-49,Baja
S-50,Baja
S-51,Media
S-52,Baja
S-53,Alta
S-54,Media
S-55,Media
