ID_Sesion,Relevancia,Precision_Factual,Persuasion,Uso_Contexto,Claridad
M-01,3,5,3,4,4
M-02,3,2,4,4,4
M-03,3,3,2,4,5
M-04,4,5,5,5,5
M-05,4,4,4,5,5
M-06,3,2,4,4,5
M-07,3,3,2,4,5
M-08,3,4,4,4,4
M-09,3,4,4,4,3
M-10,4,5,5,5,2
M-11,3,2,4,4,2
M-12,3,2,4,4,4
M-13,3,3,2,4,5
M-14,4,3,4,5,2
M-15,3,4,4,4,4
M-16,3,3,2,4,5
M-17,3,3,2,4,5
M-18,3,5,4,4,4
M-19,3,4,4,4,4
M-20,4,5,5,5,2
M-21,3,4,4,4,3
M-22,3,3,2,4,5
M-23,3,4,4,4,3
M-24,3,2,4,4,4
M-25,3,4,3,4,4
M-26,3,5,3,4,4
M-27,3,3,2,4,5
M-28,4,1,4,5,5
M-29,4,4,4,5,5
M-30,3,2,4,4,4
M-31,3,4,4,4,2
M-32,4,2,5,4,5
M-33,3,4,4,4,4
M-34,3,3,2,4,5
M-35,3,4,4,4,2
M-36,3,3,2,4,5
M-37,3,4,4,4,3
M-38,3,5,3,4,4
M-39,3,1,3,4,4
M-40,3,4,4,4,5
M-41,3,5,3,4,4
M-42,3,4,4,4,4
M-43,3,5,3,4,4
M-44,3,2,4,4,3
M-45,3,4,4,4,2
M-46,3,3,2,4,5
M-47,3,4,4,4,3
M-48,4,4,4,5,5
M-49,3,4,4,4,2
M-50,3,2,4,4,4
M-51,4,4,4,5,5
M-52,3,4,4,4,4
M-53,3,3,2,4,5
M-54,3,2,4,4,4
M-55,3,2,4,4,4
