Sesion,Escenario,Tanda,Cart Value,Abandonos Previos,Puntuacion algoritmo,Prioridad algoritmo
S-01,F-17,manual,160000,1,56,MEDIA
S-02,exec-101,automatica,120000,4,64,MEDIA
S-03,F-13,manual,120000,2,52,MEDIA
S-04,B70-04,manual,124000,5,71,ALTA
S-05,exec-92,automatica,105000,2,48.25,MEDIA
S-06,exec-99,automatica,49000,3,40.25,MEDIA
S-07,F-07,manual,80000,1,36,BAJA
S-08,F-01,manual,40000,0,20,BAJA
S-09,exec-86,automatica,180000,1,61,MEDIA
S-10,exec-88,automatica,140000,5,75,ALTA
S-11,exec-85,automatica,130000,2,54.5,MEDIA
S-12,F-04,manual,40000,3,38,BAJA
S-13,exec-90,automatica,90000,2,44.5,MEDIA
S-14,F-03,manual,40000,2,32,BAJA
S-15,F-24,manual,200000,3,78,ALTA
S-16,F-21,manual,200000,0,60,MEDIA
S-17,exec-83,automatica,69000,0,27.25,BAJA
S-18,F-11,manual,120000,0,40,MEDIA
S-19,exec-87,automatica,40000,0,20,BAJA
S-20,F-19,manual,160000,3,68,MEDIA
S-21,exec-82,automatica,55000,4,47.75,MEDIA
S-22,F-20,manual,160000,5,80,ALTA
S-23,exec-100,automatica,150000,3,65.5,MEDIA
S-24,F-12,manual,120000,1,46,MEDIA
S-25,B70-02,manual,116000,5,69,MEDIA
S-26,F-06,manual,80000,0,30,BAJA
S-27,B70-05,manual,128000,5,72,ALTA
S-28,exec-96,automatica,59000,1,30.75,BAJA
S-29,F-25,manual,200000,5,90,ALTA
S-30,B40-03,manual,72000,2,40,MEDIA
S-31,exec-98,automatica,100000,1,41,MEDIA
S-32,exec-95,automatica,24000,0,16,BAJA
S-33,F-05,manual,40000,5,50,MEDIA
S-34,exec-84,automatica,64000,1,32,BAJA
S-35,B40-01,manual,64000,2,38,BAJA
S-36,exec-93,automatica,200000,5,90,ALTA
S-37,F-02,manual,40000,1,26,BAJA
S-38,B40-02,manual,68000,2,39,BAJA
S-39,exec-89,automatica,110000,3,55.5,MEDIA
S-40,F-14,manual,120000,3,58,MEDIA
S-41,F-08,manual,80000,2,42,MEDIA
S-42,exec-97,automatica,85000,2,43.25,MEDIA
S-43,B70-03,manual,120000,5,70,ALTA
S-44,F-09,manual,80000,3,48,MEDIA
S-45,F-22,manual,200000,1,66,MEDIA
S-46,B40-04,manual,76000,2,41,MEDIA
S-47,F-16,manual,160000,0,50,MEDIA
S-48,F-23,manual,200000,2,72,ALTA
S-49,B70-01,manual,112000,5,68,MEDIA
S-50,F-15,manual,120000,5,70,ALTA
S-51,exec-94,automatica,160000,5,80,ALTA
S-52,F-10,manual,80000,5,60,MEDIA
S-53,F-18,manual,160000,2,62,MEDIA
S-54,B40-05,manual,80000,2,42,MEDIA
S-55,exec-91,automatica,200000,4,84,ALTA
