Sesion,Valor del carrito (ARS),Etapa alcanzada,Abandonos previos del cliente,Productos en el carrito,PRIORIDAD ASIGNADA (Alta/Media/Baja)
S-01,76000,cart,2,"3x Mouse Pad XL, 4x Cable USB-C 2m",
S-02,40000,cart,2,2x Mouse Pad XL,
S-03,200000,cart,0,"1x Monitor 27"" Full HD, 1x Mouse Pad XL",
S-04,120000,cart,2,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-05,40000,cart,5,2x Mouse Pad XL,
S-06,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-07,120000,cart,0,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-08,112000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 3x Cable USB-C 2m",
S-09,160000,cart,1,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-10,160000,cart,3,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-11,40000,cart,3,2x Mouse Pad XL,
S-12,72000,cart,2,"3x Mouse Pad XL, 3x Cable USB-C 2m",
S-13,120000,cart,3,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-14,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-15,80000,cart,3,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-16,116000,cart,5,"1x Webcam 1080p, 1x Auriculares Bluetooth Pro, 1x Mouse Pad XL, 4x Cable USB-C 2m",
S-17,64000,cart,2,"3x Mouse Pad XL, 1x Cable USB-C 2m",
S-18,80000,cart,1,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-19,80000,cart,2,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-20,80000,cart,5,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-21,124000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 1x Cable USB-C 2m",
S-22,200000,cart,5,"1x Monitor 27"" Full HD, 1x Mouse Pad XL",
S-23,160000,cart,0,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-24,200000,cart,1,"1x Monitor 27"" Full HD, 1x Mouse Pad XL",
S-25,120000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-26,200000,cart,2,"1x Monitor 27"" Full HD, 1x Mouse Pad XL",
S-27,160000,cart,5,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
S-28,40000,cart,0,2x Mouse Pad XL,
S-29,120000,cart,1,"1x SSD 1TB NVMe, 1x Webcam 1080p",
S-30,128000,cart,5,"1x SSD 1TB NVMe, 1x Webcam 1080p, 2x Cable USB-C 2m",
S-31,68000,cart,2,"3x Mouse Pad XL, 2x Cable USB-C 2m",
S-32,80000,cart,0,"1x Auriculares Bluetooth Pro, 1x Webcam 1080p",
S-33,40000,cart,1,2x Mouse Pad XL,
S-34,200000,cart,3,"1x Monitor 27"" Full HD, 1x Mouse Pad XL",
S-35,160000,cart,2,"1x SSD 1TB NVMe, 1x Teclado Mecanico RGB, 1x Mouse Pad XL",
