Mensaje,Escenario,Tanda,Prioridad,Canal,Cart Value,Latencia (ms)
M-01,F-25,manual,ALTA,Telegram,200000,3617
M-02,F-11,manual,MEDIA,Email,120000,3761
M-03,exec-87,automatica,BAJA,Email,40000,2643
M-04,exec-88,automatica,ALTA,Telegram,140000,4445
M-05,F-12,manual,MEDIA,Email,120000,3447
M-06,F-05,manual,MEDIA,Email,40000,5008
M-07,exec-84,automatica,BAJA,Email,64000,2958
M-08,F-10,manual,MEDIA,Email,80000,4540
M-09,B40-04,manual,MEDIA,Email,76000,3014
M-10,exec-93,automatica,ALTA,Telegram,200000,3466
M-11,exec-100,automatica,MEDIA,Email,150000,3619
M-12,F-17,manual,MEDIA,Email,160000,5678
M-13,B40-02,manual,BAJA,Email,68000,1947
M-14,exec-96,automatica,BAJA,Email,59000,2572
M-15,B40-05,manual,MEDIA,Email,80000,4160
M-16,F-03,manual,BAJA,Email,40000,2642
M-17,exec-83,automatica,BAJA,Email,69000,3422
M-18,exec-94,automatica,ALTA,Telegram,160000,3961
M-19,F-21,manual,MEDIA,Email,200000,3548
M-20,exec-91,automatica,ALTA,Telegram,200000,3861
M-21,F-19,manual,MEDIA,Email,160000,3206
M-22,exec-95,automatica,BAJA,Email,24000,2643
M-23,exec-101,automatica,MEDIA,Email,120000,4474
M-24,exec-85,automatica,MEDIA,Email,130000,4746
M-25,F-14,manual,MEDIA,Email,120000,3852
M-26,F-23,manual,ALTA,Telegram,200000,3101
M-27,F-07,manual,BAJA,Email,80000,2655
M-28,F-02,manual,BAJA,Email,40000,2585
M-29,F-22,manual,MEDIA,Email,200000,3535
M-30,B40-03,manual,MEDIA,Email,72000,2769
M-31,exec-86,automatica,MEDIA,Email,180000,4957
M-32,F-20,manual,ALTA,Telegram,160000,4929
M-33,exec-97,automatica,MEDIA,Email,85000,3608
M-34,F-06,manual,BAJA,Email,80000,2541
M-35,exec-82,automatica,MEDIA,Email,55000,5671
M-36,F-04,manual,BAJA,Email,40000,2700
M-37,exec-90,automatica,MEDIA,Email,90000,4606
M-38,B70-05,manual,ALTA,Telegram,128000,10770
M-39,F-15,manual,ALTA,Telegram,120000,4211
M-40,exec-99,automatica,MEDIA,Email,49000,4271
M-41,B70-04,manual,ALTA,Telegram,124000,3042
M-42,B70-01,manual,MEDIA,Email,112000,2892
M-43,F-24,manual,ALTA,Telegram,200000,3737
M-44,exec-98,automatica,MEDIA,Email,100000,3934
M-45,exec-92,automatica,MEDIA,Email,105000,4065
M-46,F-01,manual,BAJA,Email,40000,2810
M-47,F-09,manual,MEDIA,Email,80000,5162
M-48,B70-02,manual,MEDIA,Email,116000,3244
M-49,exec-89,automatica,MEDIA,Email,110000,4559
M-50,F-16,manual,MEDIA,Email,160000,5036
M-51,B70-03,manual,ALTA,Telegram,120000,3221
M-52,F-18,manual,MEDIA,Email,160000,3913
M-53,B40-01,manual,BAJA,Email,64000,2163
M-54,F-13,manual,MEDIA,Email,120000,3875
M-55,F-08,manual,MEDIA,Email,80000,4972
