Mensaje,Escenario,Prioridad,Canal,Cart Value,Latencia (ms)
M-01,F-19,ALTA,Telegram,160000,3994
M-02,F-05,BAJA,Email,40000,4682
M-03,F-23,ALTA,Telegram,200000,4044
M-04,exec-148,MEDIA,Email,105000,3358
M-05,exec-139,MEDIA,Email,64000,3237
M-06,exec-153,MEDIA,Email,85000,3140
M-07,exec-142,MEDIA,Email,140000,3425
M-08,F-11,MEDIA,Email,120000,3416
M-09,exec-146,MEDIA,Email,69000,3224
M-10,B40-02,MEDIA,Email,68000,3153
M-11,exec-150,MEDIA,Email,160000,3873
M-12,F-20,MEDIA,Email,160000,3417
M-13,B70-03,BAJA,Email,120000,3013
M-14,exec-144,ALTA,Telegram,180000,3536
M-15,exec-138,BAJA,Email,40000,2717
M-16,B40-04,MEDIA,Email,76000,3462
M-17,B70-02,BAJA,Email,116000,2841
M-18,F-14,MEDIA,Email,120000,3489
M-19,exec-157,BAJA,Email,120000,2929
M-20,exec-143,BAJA,Email,55000,2905
M-21,F-02,BAJA,Email,40000,3088
M-22,F-22,ALTA,Telegram,200000,3766
M-23,F-09,MEDIA,Email,80000,3925
M-24,B70-05,BAJA,Email,128000,3389
M-25,exec-155,BAJA,Email,49000,2639
M-26,F-16,ALTA,Telegram,160000,3752
M-27,F-24,ALTA,Telegram,200000,3615
M-28,F-12,MEDIA,Email,120000,3035
M-29,B40-05,MEDIA,Email,80000,3348
M-30,exec-152,BAJA,Email,59000,2666
M-31,F-06,MEDIA,Email,80000,4289
M-32,B40-01,MEDIA,Email,64000,4481
M-33,B40-03,MEDIA,Email,72000,3330
M-34,F-17,ALTA,Telegram,160000,4130
M-35,F-15,BAJA,Email,120000,2807
M-36,exec-145,MEDIA,Email,200000,3257
M-37,exec-147,MEDIA,Email,130000,3275
M-38,F-08,MEDIA,Email,80000,3896
M-39,F-10,BAJA,Email,80000,3882
M-40,exec-156,ALTA,Telegram,150000,3636
M-41,exec-149,MEDIA,Email,200000,2764
M-42,F-13,MEDIA,Email,120000,3954
M-43,F-04,BAJA,Email,40000,3104
M-44,F-01,BAJA,Email,40000,3111
M-45,exec-151,BAJA,Email,24000,2955
M-46,exec-141,MEDIA,Email,110000,3360
M-47,F-18,ALTA,Telegram,160000,3965
M-48,B70-04,BAJA,Email,124000,2894
M-49,exec-154,MEDIA,Email,100000,3279
M-50,F-03,BAJA,Email,40000,2968
M-51,F-07,MEDIA,Email,80000,5381
M-52,exec-140,MEDIA,Email,90000,3472
M-53,B70-01,BAJA,Email,112000,2979
M-54,F-21,ALTA,Telegram,200000,3492
M-55,F-25,MEDIA,Email,200000,4000
