Sesion,Escenario,Cart Value,Abandonos Previos,Puntuacion algoritmo,Prioridad algoritmo
S-01,F-11,120000,0,60,MEDIA
S-02,F-05,40000,5,20,BAJA
S-03,exec-150,160000,5,80,MEDIA
S-04,exec-148,105000,2,52.5,MEDIA
S-05,exec-145,200000,4,100,MEDIA
S-06,F-21,200000,0,100,ALTA
S-07,B70-05,128000,5,64,BAJA
S-08,B40-01,64000,2,32,MEDIA
S-09,F-23,200000,2,100,ALTA
S-10,B40-05,80000,2,40,MEDIA
S-11,F-22,200000,1,100,ALTA
S-12,F-20,160000,5,80,MEDIA
S-13,exec-141,110000,3,55,MEDIA
S-14,exec-139,64000,1,32,MEDIA
S-15,exec-140,90000,2,45,MEDIA
S-16,F-10,80000,5,40,BAJA
S-17,exec-147,130000,2,65,MEDIA
S-18,F-07,80000,1,40,MEDIA
S-19,F-04,40000,3,20,BAJA
S-20,F-16,160000,0,80,ALTA
S-21,exec-146,69000,0,34.5,MEDIA
S-22,exec-144,180000,1,90,ALTA
S-23,exec-149,200000,5,100,MEDIA
S-24,B70-03,120000,5,60,BAJA
S-25,exec-157,120000,4,60,BAJA
S-26,exec-154,100000,1,50,MEDIA
S-27,F-03,40000,2,20,BAJA
S-28,exec-151,24000,0,12,BAJA
S-29,exec-152,59000,1,29.5,BAJA
S-30,F-25,200000,5,100,MEDIA
S-31,F-02,40000,1,20,BAJA
S-32,F-06,80000,0,40,MEDIA
S-33,B40-02,68000,2,34,MEDIA
S-34,F-19,160000,3,80,ALTA
S-35,exec-138,40000,0,20,BAJA
S-36,exec-142,140000,5,70,MEDIA
S-37,F-15,120000,5,60,BAJA
S-38,exec-153,85000,2,42.5,MEDIA
S-39,B40-04,76000,2,38,MEDIA
S-40,B40-03,72000,2,36,MEDIA
S-41,F-14,120000,3,60,MEDIA
S-42,B70-04,124000,5,62,BAJA
S-43,F-08,80000,2,40,MEDIA
S-44,B70-02,116000,5,58,BAJA
S-45,F-12,120000,1,60,MEDIA
S-46,F-01,40000,0,20,BAJA
S-47,F-18,160000,2,80,ALTA
S-48,exec-155,49000,3,24.5,BAJA
S-49,B70-01,112000,5,56,BAJA
S-50,exec-143,55000,4,27.5,BAJA
S-51,exec-156,150000,3,75,ALTA
S-52,F-09,80000,3,40,MEDIA
S-53,F-24,200000,3,100,ALTA
S-54,F-13,120000,2,60,MEDIA
S-55,F-17,160000,1,80,ALTA
